Country,Continent,Year,Import (US$ Billion)
Afghanistan,Asia,2000,0.11632044
Angola,Africa,2000,7.98649171
Albania,Europe,2000,0.29216484
Andorra,Europe,2000,0.04285049
United Arab Emirates,Asia,2000,36.31095152
Argentina,South America,2000,26.56403327
Armenia,Europe,2000,0.27396247
Antigua and Barbuda,North America,2000,0.13425526
Australia,Oceania,2000,69.68751999
Austria,Europe,2000,57.28013754
Azerbaijan,Europe,2000,1.45192262
Burundi,Africa,2000,0.05267485
Belgium,Europe,2000,146.6602139
Benin,Africa,2000,0.326195
Burkina Faso,Africa,2000,0.19934115
Bangladesh,Asia,2000,6.49027983
Bulgaria,Europe,2000,4.99952365
Bahrain,Asia,2000,2.97288957
Bahamas,North America,2000,0.9250353
Bosnia and Herzegovina,Europe,2000,0.9009179
Belarus,Europe,2000,6.74735623
Belize,North America,2000,0.32510573
Bolivia,South America,2000,1.06352492
Brazil,South America,2000,58.73096699
Barbados,North America,2000,0.59752649
Brunei,Asia,2000,3.63506786
Bhutan,Asia,2000,0.02433732
Botswana,Africa,2000,1.06184503
Central African Republic,Africa,2000,0.23782373
Canada,North America,2000,288.5300159
Switzerland,Europe,2000,92.94000438
Chile,South America,2000,19.62710104
China,Asia,2000,405.8708475
Ivory Coast,Africa,2000,4.39361499
Cameroon,Africa,2000,2.48920657
Republic of the Congo,Africa,2000,3.13018865
Colombia,South America,2000,13.96291078
Comoros,Africa,2000,0.01720327
Cape Verde,Africa,2000,0.01954231
Costa Rica,North America,2000,6.9674522
Cuba,North America,2000,1.34883565
Cyprus,Europe,2000,0.95036213
Czechia,Europe,2000,28.96228343
Germany,Europe,2000,528.8713226
Djibouti,Africa,2000,0.0123056
Dominica,North America,2000,0.10366322
Denmark,Europe,2000,43.93298234
Dominican Rep.,North America,2000,4.99154715
Algeria,Africa,2000,18.69825565
Ecuador,South America,2000,6.17728069
Egypt,Africa,2000,6.02670481
Eritrea,Africa,2000,0.0141179
Spain,Europe,2000,108.8170843
Estonia,Europe,2000,4.7023103
Ethiopia,Africa,2000,0.46134674
Finland,Europe,2000,44.87635449
Fiji,Oceania,2000,0.5787212
France,Europe,2000,296.6601974
Micronesia,Oceania,2000,0.07054643
Gabon,Africa,2000,3.43806582
United Kingdom,Europe,2000,281.5866939
Georgia,Europe,2000,0.64753883
Ghana,Africa,2000,2.05325833
Guinea,Africa,2000,0.93015558
Gambia,Africa,2000,0.04808853
Guinea-Bissau,Africa,2000,0.13026757
Equatorial Guinea,Africa,2000,1.25666332
Greece,Europe,2000,9.93810969
Grenada,North America,2000,0.06085805
Guatemala,North America,2000,4.73555345
Guyana,South America,2000,0.61299145
Honduras,North America,2000,3.97919737
Croatia,Europe,2000,3.19016827
Haiti,North America,2000,0.33004436
Hungary,Europe,2000,29.45571978
Indonesia,Asia,2000,65.81275129
India,Asia,2000,46.22200682
Ireland,Europe,2000,80.44512361
Iran,Asia,2000,25.73011055
Iraq,Asia,2000,16.67938663
Iceland,Europe,2000,2.21543651
Israel,Asia,2000,30.985484
Italy,Europe,2000,221.0795585
Jamaica,North America,2000,1.6092536
Jordan,Asia,2000,1.20554613
Japan,Asia,2000,513.8544039
Kazakhstan,Asia,2000,9.0397125
Kenya,Africa,2000,1.68146335
Kyrgyzstan,Asia,2000,0.40416651
Cambodia,Asia,2000,1.51035355
Kiribati,Oceania,2000,0.02221763
St. Kitts and Nevis,North America,2000,0.07916022
South Korea,Asia,2000,174.4458186
Kuwait,Asia,2000,19.27180604
Laos,Asia,2000,0.36405355
Lebanon,Asia,2000,0.89034353
Liberia,Africa,2000,0.77194513
Libya,Africa,2000,13.88995348
St. Lucia,North America,2000,0.91372117
